State,District,Police_Station,Area_Type,Crime_Type,Date,Population,Cases_Reported,Cases_Solved,Arrests_Made,Cases_Pending,Crime_Rate_Per_Lakh,Crime_Per_Lakh
Andhra Pradesh,Vijayawada,PS_106,Rural,Fraud,2022-06-29,,456,414.0,413,43.0,10.607813771454651,
Andhra Pradesh,Nellore,PS_156,Rural,Assault,2017-01-01,153659.0,387,340.0,302,85.0,251.85638329027262,251.85638329027262
Andhra Pradesh,Vijayawada,PS_277,Urban,Burglary,2023-08-05,1779710.0,668,489.0,269,399.0,37.534205010928744,37.534205010928744
Andhra Pradesh,Visakhapatnam,PS_205,Rural,Murder,2022-07-30,3916787.0,287,129.0,261,,,7.3274344507373
Andhra Pradesh,Vijayawada,PS_364,Rural,Murder,2016-01-26,1224313.0,411,324.0,22,389.0,33.569846926398725,
Andhra Pradesh,Visakhapatnam,PS_369,Urban,Theft,2016-01-08,6799189.0,785,90.0,543,,11.545494617078596,11.545494617078596
Andhra Pradesh,Nellore,PS_65,Semi-Urban,Kidnapping,2020-02-25,3808377.0,80,11.0,63,17.0,2.100632369116818,2.100632369116818
Andhra Pradesh,Nellore,PS_280,Semi-Urban,Kidnapping,2016-05-19,,22,7.0,2,20.0,0.5423060331546189,0.5423060331546189
Andhra Pradesh,Guntur,PS_42,Semi-Urban,Robbery,2021-07-16,2331245.0,727,283.0,628,99.0,,31.185053480007465
Andhra Pradesh,Visakhapatnam,PS_143,Rural,Cyber Crime,2024-03-10,1734987.0,749,,35,714.0,43.170352285060346,43.170352285060346
Andhra Pradesh,Guntur,PS_221,Urban,Burglary,2021-10-16,663583.0,150,50.0,50,100.0,22.60455738016194,22.60455738016194
Andhra Pradesh,Kurnool,PS_110,Urban,Domestic Violence,2020-08-19,5860059.0,451,,293,158.0,7.6961682467702115,7.6961682467702115
Andhra Pradesh,Vijayawada,PS_140,Rural,Domestic Violence,2015-04-27,903625.0,725,213.0,551,174.0,,
Andhra Pradesh,Vijayawada,PS_143,Urban,Murder,2024-10-20,6496781.0,754,443.0,420,334.0,11.605747523273449,11.605747523273449
Andhra Pradesh,Nellore,PS_128,Rural,Theft,2017-01-04,4918914.0,448,112.0,129,319.0,9.107701415393723,9.107701415393723
Andhra Pradesh,Visakhapatnam,PS_285,Rural,Kidnapping,2018-02-19,4484185.0,416,93.0,382,34.0,9.277048114651826,9.277048114651826
Andhra Pradesh,Kurnool,PS_157,Urban,Robbery,2024-06-20,2942226.0,332,280.0,317,15.0,11.283973426922337,11.283973426922337
Andhra Pradesh,Visakhapatnam,PS_214,Urban,Cyber Crime,2020-09-13,452614.0,746,340.0,537,209.0,164.82035465098295,164.82035465098295
Andhra Pradesh,Kurnool,PS_80,Rural,Rape,2022-04-03,2359653.0,327,39.0,204,123.0,13.857969794711341,13.857969794711341
Andhra Pradesh,Guntur,PS_74,Rural,Theft,2017-04-06,2355059.0,655,232.0,549,106.0,27.81246669404036,27.81246669404036
Andhra Pradesh,Nellore,PS_370,Semi-Urban,Robbery,2017-11-20,5288147.0,19,1.0,18,1.0,0.3592940967790797,0.3592940967790797
Andhra Pradesh,Kurnool,PS_308,Semi-Urban,Robbery,2022-12-07,940251.0,284,94.0,183,101.0,30.204700659717457,30.204700659717457
Andhra Pradesh,Vijayawada,PS_141,Rural,Robbery,2023-10-01,2023943.0,403,86.0,175,228.0,19.911627946043936,19.911627946043936
Andhra Pradesh,Nellore,PS_100,Rural,Burglary,2022-09-26,,136,70.0,73,63.0,2.780096228124884,2.780096228124884
Andhra Pradesh,Guntur,PS_27,Rural,Cyber Crime,2020-04-01,1932471.0,121,82.0,114,7.0,,
Andhra Pradesh,Vijayawada,PS_161,Semi-Urban,Robbery,2020-03-02,237430.0,173,74.0,156,17.0,72.8635808448806,72.8635808448806
Andhra Pradesh,Nellore,PS_71,Semi-Urban,Burglary,2016-09-16,2571011.0,371,360.0,269,102.0,14.430121069104722,14.430121069104722
Andhra Pradesh,Guntur,PS_294,Urban,Kidnapping,2024-03-30,2211009.0,389,203.0,349,40.0,17.593777320671244,17.593777320671244
Andhra Pradesh,Nellore,PS_292,Rural,Robbery,2022-09-01,3870791.0,443,321.0,71,372.0,11.44468921210161,11.44468921210161
Andhra Pradesh,Nellore,PS_12,Urban,Robbery,2022-08-23,6444082.0,545,257.0,451,94.0,8.457372206002345,8.457372206002345
